"WBXA006.Code.or.Value","WBXA006.Value.Description","WBXA006.Count","WBXA006.Cumulative","WBXA006.Skip.to.Item"
"-7.243 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
