"URXUCM.Code.or.Value","URXUCM.Value.Description","URXUCM.Count","URXUCM.Cumulative","URXUCM.Skip.to.Item"
"0.13 to 41.79","Range of Values",2791,2791,NA
".","Missing",188,2979,NA
