"LBX146LA.Code.or.Value","LBX146LA.Value.Description","LBX146LA.Count","LBX146LA.Cumulative","LBX146LA.Skip.to.Item"
"0.06 to 86.75","Range of Values",1894,1894,NA
".","Missing",391,2285,NA
