"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 206","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
