"PAXAISMM.Code.or.Value","PAXAISMM.Value.Description","PAXAISMM.Count","PAXAISMM.Cumulative","PAXAISMM.Skip.to.Item"
"0 to 4800","Range of Values",88223479,88223479,NA
".","Missing",0,88223479,NA
