"OCQ310b.Code.or.Value","OCQ310b.Value.Description","OCQ310b.Count","OCQ310b.Cumulative","OCQ310b.Skip.to.Item"
"1","Yes",361,361,NA
"2","No",762,1123,NA
"7","Refused",0,1123,NA
"9","Don't know",0,1123,NA
".","Missing",6172,7295,NA
