"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2578,2578,NA
"1","Below lower detection limit",73,2651,NA
".","Missing",152,2803,NA
