"URDMU3LC.Code.or.Value","URDMU3LC.Value.Description","URDMU3LC.Count","URDMU3LC.Cumulative","URDMU3LC.Skip.to.Item"
"0","At or above detection limit",2607,2607,NA
"1","Below lower detection limit",14,2621,NA
".","Missing",138,2759,NA
