"DXXAC8PO.Code.or.Value","DXXAC8PO.Value.Description","DXXAC8PO.Count","DXXAC8PO.Cumulative","DXXAC8PO.Skip.to.Item"
"0 to 4","Range of Values",3175,3175,NA
".","Missing",533,3708,NA
