"WTSPO50.Code.or.Value","WTSPO50.Value.Description","WTSPO50.Count","WTSPO50.Cumulative","WTSPO50.Skip.to.Item"
"0.0000000 to 846197.1501700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
