"TYXP210.Code.or.Value","TYXP210.Value.Description","TYXP210.Count","TYXP210.Cumulative","TYXP210.Skip.to.Item"
"-299 to 132","Range of Values",297,297,NA
".","Missing",5288,5585,NA
