"OHQ612.Code.or.Value","OHQ612.Value.Description","OHQ612.Count","OHQ612.Cumulative","OHQ612.Skip.to.Item"
"1","Yes",251,251,NA
"2","No",3098,3349,NA
"7","Refused",0,3349,NA
"9","Don't know",10,3359,NA
".","Missing",5538,8897,NA
