"BAXFTC22.Code.or.Value","BAXFTC22.Value.Description","BAXFTC22.Count","BAXFTC22.Cumulative","BAXFTC22.Skip.to.Item"
"1 to 14","Range of Values",88,88,NA
".","Missing",2998,3086,NA
