"RFXT109.Code.or.Value","RFXT109.Value.Description","RFXT109.Count","RFXT109.Cumulative","RFXT109.Skip.to.Item"
"946 to 955","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
