"AUDTYR83.Code.or.Value","AUDTYR83.Value.Description","AUDTYR83.Count","AUDTYR83.Cumulative","AUDTYR83.Skip.to.Item"
"0 to 0.31","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
