"SSTESTO.Code.or.Value","SSTESTO.Value.Description","SSTESTO.Count","SSTESTO.Cumulative","SSTESTO.Skip.to.Item"
"0.1 to 50","Range of Values",486,486,NA
".","Missing",4,490,NA
