"LBXCRP.Code.or.Value","LBXCRP.Value.Description","LBXCRP.Count","LBXCRP.Cumulative","LBXCRP.Skip.to.Item"
"0.01 to 18.01","Range of Values",8299,8299,NA
".","Missing",912,9211,NA
