"LB2BPBSI.Code.or.Value","LB2BPBSI.Value.Description","LB2BPBSI.Count","LB2BPBSI.Cumulative","LB2BPBSI.Skip.to.Item"
"0.01 to 0.633","Range of Values",551,551,NA
".","Missing",0,551,NA
