"SSARA_N.Code.or.Value","SSARA_N.Value.Description","SSARA_N.Count","SSARA_N.Cumulative","SSARA_N.Skip.to.Item"
"226 to 2240","Range of Values",1762,1762,NA
".","Missing",16,1778,NA
