"AUDTYR14.Code.or.Value","AUDTYR14.Value.Description","AUDTYR14.Count","AUDTYR14.Cumulative","AUDTYR14.Skip.to.Item"
"0 to 1.59","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
