"RFXT140.Code.or.Value","RFXT140.Value.Description","RFXT140.Count","RFXT140.Cumulative","RFXT140.Skip.to.Item"
"1220 to 1229","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
