"LBDLCCSI.Code.or.Value","LBDLCCSI.Value.Description","LBDLCCSI.Count","LBDLCCSI.Cumulative","LBDLCCSI.Skip.to.Item"
"0.013 to 2.944","Range of Values",6392,6392,NA
".","Missing",1043,7435,NA
