"DBD080.Code.or.Value","DBD080.Value.Description","DBD080.Count","DBD080.Cumulative","DBD080.Skip.to.Item"
"3 to 730","Range of Values",1698,1698,NA
"0","Never on a daily basis",154,1852,NA
"777777","Refused",0,1852,NA
"999999","Don't know",16,1868,NA
".","Missing",8281,10149,NA
