"DSDDF1LC.Code.or.Value","DSDDF1LC.Value.Description","DSDDF1LC.Count","DSDDF1LC.Cumulative","DSDDF1LC.Skip.to.Item"
"0","At or above the detection limit",3980,3980,NA
"1","Below lower detection limit",2977,6957,NA
".","Missing",2483,9440,NA
