"WTIREP02.Code.or.Value","WTIREP02.Value.Description","WTIREP02.Count","WTIREP02.Cumulative","WTIREP02.Skip.to.Item"
"0 to 237013.9879","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
