"SSD031.Code.or.Value","SSD031.Value.Description","SSD031.Count","SSD031.Cumulative","SSD031.Skip.to.Item"
"1","Yes",233,233,""
"2","No",1486,1719,"SSD051"
"7","Refused",0,1719,"SSD051"
"9","Don't know",8,1727,"SSD051"
".","Missing",145,1872,""
