"SSD044.Code.or.Value","SSD044.Value.Description","SSD044.Count","SSD044.Cumulative","SSD044.Skip.to.Item"
"0 to 1826","Range of Values",4017,4017,NA
"77777","Refused",3,4020,NA
"99999","Don't know",4,4024,NA
".","Missing",1,4025,NA
