"SSII4UO2.Code.or.Value","SSII4UO2.Value.Description","SSII4UO2.Count","SSII4UO2.Cumulative","SSII4UO2.Skip.to.Item"
"0.009 to 3.5","Range of Values",1036,1036,NA
".","Missing",0,1036,NA
