"WTSSMC4Y.Code.or.Value","WTSSMC4Y.Value.Description","WTSSMC4Y.Count","WTSSMC4Y.Cumulative","WTSSMC4Y.Skip.to.Item"
"803.853196 to 117206.90022","Range of Values",5244,5244,NA
"0","No lab specimen",0,5244,NA
".","Missing",0,5244,NA
