"WTSCI17.Code.or.Value","WTSCI17.Value.Description","WTSCI17.Count","WTSCI17.Cumulative","WTSCI17.Skip.to.Item"
"0 to 461662.8862","Range of Values",727,727,NA
".","Missing",51,778,NA
