"LB2BCD.Code.or.Value","LB2BCD.Value.Description","LB2BCD.Count","LB2BCD.Cumulative","LB2BCD.Skip.to.Item"
"0.2 to 7","Range of Values",551,551,NA
".","Missing",0,551,NA
