"BIXS005K.Code.or.Value","BIXS005K.Value.Description","BIXS005K.Count","BIXS005K.Cumulative","BIXS005K.Skip.to.Item"
"380.55 to 1093.73","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
