"LBXPCBLA.Code.or.Value","LBXPCBLA.Value.Description","LBXPCBLA.Count","LBXPCBLA.Cumulative","LBXPCBLA.Skip.to.Item"
"1.9 to 721","Range of Values",1860,1860,NA
".","Missing",425,2285,NA
