"LBXRBF.Code.or.Value","LBXRBF.Value.Description","LBXRBF.Count","LBXRBF.Cumulative","LBXRBF.Skip.to.Item"
"52 to 1840","Range of Values",8374,8374,NA
".","Missing",1066,9440,NA
