"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 66","Range of Values",362,362,NA
"70","70 or more",1,363,NA
"77777","Refused",0,363,NA
"99999","Don't know",13,376,NA
".","Missing",8988,9364,NA
