"LB2GLUSI.Code.or.Value","LB2GLUSI.Value.Description","LB2GLUSI.Count","LB2GLUSI.Cumulative","LB2GLUSI.Skip.to.Item"
"3.669 to 17.647","Range of Values",212,212,NA
".","Missing",345,557,NA
