"TYXP188.Code.or.Value","TYXP188.Value.Description","TYXP188.Count","TYXP188.Cumulative","TYXP188.Skip.to.Item"
"-297 to 140","Range of Values",679,679,NA
".","Missing",4906,5585,NA
