"SPXNFEV5.Code.or.Value","SPXNFEV5.Value.Description","SPXNFEV5.Count","SPXNFEV5.Cumulative","SPXNFEV5.Skip.to.Item"
"301 to 5633","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
