"WTSBA16.Code.or.Value","WTSBA16.Value.Description","WTSBA16.Count","WTSBA16.Cumulative","WTSBA16.Skip.to.Item"
"0 to 383577.63521","Range of Values",946,946,NA
".","Missing",65,1011,NA
