"URDUHGLC.Code.or.Value","URDUHGLC.Value.Description","URDUHGLC.Count","URDUHGLC.Cumulative","URDUHGLC.Skip.to.Item"
"0","At or above the detection limit",1143,1143,NA
"1","Below lower detection limit",1669,2812,NA
".","Missing",167,2979,NA
