"WTSPO40.Code.or.Value","WTSPO40.Value.Description","WTSPO40.Count","WTSPO40.Cumulative","WTSPO40.Skip.to.Item"
"0.0000000 to 851003.2844700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
