"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"2 to 79","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
