"WBXF019.Code.or.Value","WBXF019.Value.Description","WBXF019.Count","WBXF019.Cumulative","WBXF019.Skip.to.Item"
"629.9605 to 629.9605","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
