"TYXP204.Code.or.Value","TYXP204.Value.Description","TYXP204.Count","TYXP204.Cumulative","TYXP204.Skip.to.Item"
"-298 to 100","Range of Values",354,354,NA
".","Missing",5231,5585,NA
