"CIQG21.Code.or.Value","CIQG21.Value.Description","CIQG21.Count","CIQG21.Cumulative","CIQG21.Skip.to.Item"
"9 to 39","Range of Values",19,19,NA
"77","Refused",0,19,NA
"99","Don't know",3,22,NA
".","Missing",828,850,NA
