"WTSPP45.Code.or.Value","WTSPP45.Value.Description","WTSPP45.Count","WTSPP45.Cumulative","WTSPP45.Skip.to.Item"
"0 to 837684.22019","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
