"WBXP076.Code.or.Value","WBXP076.Value.Description","WBXP076.Count","WBXP076.Cumulative","WBXP076.Skip.to.Item"
"-169.9324 to 161.7368","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
