"LBXBR8.Code.or.Value","LBXBR8.Value.Description","LBXBR8.Count","LBXBR8.Cumulative","LBXBR8.Skip.to.Item"
"1.2 to 428.6","Range of Values",2014,2014,NA
".","Missing",323,2337,NA
