"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",2122,2122,""
"2","No",3254,5376,"WHQ225"
"7","Refused",0,5376,"WHQ225"
"9","Don't know",0,5376,"WHQ225"
".","Missing",785,6161,""
