"CIQD106.Code.or.Value","CIQD106.Value.Description","CIQD106.Count","CIQD106.Cumulative","CIQD106.Skip.to.Item"
"0 to 365","Range of Values",104,104,NA
"777","Refuse",0,104,NA
"999","Don't know",2,106,NA
".","Missing",744,850,NA
