"LBDOD1LC.Code.or.Value","LBDOD1LC.Value.Description","LBDOD1LC.Count","LBDOD1LC.Cumulative","LBDOD1LC.Skip.to.Item"
"0","At or above the detection limit",4516,4516,NA
"1","Below lower detection limit",0,4516,NA
".","Missing",907,5423,NA
