"WBXF020.Code.or.Value","WBXF020.Value.Description","WBXF020.Count","WBXF020.Cumulative","WBXF020.Skip.to.Item"
"648.4198 to 648.4198","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
