"LBXBR6LA.Code.or.Value","LBXBR6LA.Value.Description","LBXBR6LA.Count","LBXBR6LA.Cumulative","LBXBR6LA.Skip.to.Item"
"0.4 to 365","Range of Values",2040,2040,NA
".","Missing",297,2337,NA
