"DXXGYLM.Code.or.Value","DXXGYLM.Value.Description","DXXGYLM.Count","DXXGYLM.Cumulative","DXXGYLM.Skip.to.Item"
"1556.8 to 17728.3","Range of Values",4059,4059,NA
".","Missing",1055,5114,NA
