"PSASCST1.Code.or.Value","PSASCST1.Value.Description","PSASCST1.Count","PSASCST1.Cumulative","PSASCST1.Skip.to.Item"
"1","Complete",24,24,"PSQ020"
"2","Partial",0,24,"PSQ020"
"3","Not done",28,52,""
".","Missing",0,52,""
