"LBDBSESI.Code.or.Value","LBDBSESI.Value.Description","LBDBSESI.Count","LBDBSESI.Cumulative","LBDBSESI.Skip.to.Item"
"1.08 to 5.76","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
