"HCQ220.Code.or.Value","HCQ220.Value.Description","HCQ220.Count","HCQ220.Cumulative","HCQ220.Skip.to.Item"
"1","True",22,22,NA
"2","False",2,24,NA
"7","Refused",0,24,NA
"9","Don't know",7,31,NA
".","Missing",62,93,NA
