"LBDRSTSI.Code.or.Value","LBDRSTSI.Value.Description","LBDRSTSI.Count","LBDRSTSI.Cumulative","LBDRSTSI.Skip.to.Item"
"0.017 to 0.887","Range of Values",6123,6123,NA
".","Missing",1312,7435,NA
