"WTSPH10.Code.or.Value","WTSPH10.Value.Description","WTSPH10.Count","WTSPH10.Cumulative","WTSPH10.Skip.to.Item"
"0 to 789159.75121","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
