"TYXP160.Code.or.Value","TYXP160.Value.Description","TYXP160.Count","TYXP160.Cumulative","TYXP160.Skip.to.Item"
"-299 to 192","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
