"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"181.9 to 420.7","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
