"BMITRI.Code.or.Value","BMITRI.Value.Description","BMITRI.Count","BMITRI.Cumulative","BMITRI.Skip.to.Item"
"1","Could not obtain",617,617,NA
"2","Exceeds capacity",143,760,NA
"3","Hard to obtain",0,760,NA
".","Missing",9493,10253,NA
