"OPASCST2.Code.or.Value","OPASCST2.Value.Description","OPASCST2.Count","OPASCST2.Cumulative","OPASCST2.Skip.to.Item"
"1","Complete",3172,3172,NA
"2","Partial",152,3324,NA
"3","Not done",539,3863,NA
".","Missing",0,3863,NA
