"WTIREP12.Code.or.Value","WTIREP12.Value.Description","WTIREP12.Count","WTIREP12.Cumulative","WTIREP12.Skip.to.Item"
"0 to 237833.53131","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
